,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,工作2年了才发现我员工信息栏的证件照是个猫头，大家以我为戒,https://www.bilibili.com/video/BV17b4y187Z1,隔壁公司的傻狗,1469367,1755977,729,1978,122852,0,11126,11354
1,这只狗…让我开心了两天两夜,https://www.bilibili.com/video/BV1qh411t7Fu,动物治愈大师,1431601,2272042,1397,3743,152385,0,10599,20897
2,绑架代替购买之小区物业又叫我们来抓猫,https://www.bilibili.com/video/BV1zR4y1E7rK,本喵叫兔兔,1418092,1002820,955,47580,102335,0,600,7090
3,“未经狗苦，莫劝狗善”,https://www.bilibili.com/video/BV1644y1e787,归来仍是少年314,1141239,2131658,1651,2735,147769,0,7100,19712
4,300万粉了！这位up主终于自己做了个视频,https://www.bilibili.com/video/BV1YR4y1E7ri,花花与三猫CatLive,995010,322654,2375,41577,59331,0,801,10938
5,失去了牙齿的猫，要怎样生活呢？,https://www.bilibili.com/video/BV1jS4y1d7Nt,亮亮也是酿酿,883305,340988,2471,33180,59200,0,1361,5147
6,绑架代替购买 之 拆蛋专家 ！,https://www.bilibili.com/video/BV1uP4y157Qb,和猫住,825958,429122,1204,23192,53673,0,972,4258
7,猫咖里的猫真的就不幸福吗？,https://www.bilibili.com/video/BV1jU4y1c7QU,猫不理咖啡,726901,463204,555,7019,49198,0,272,2958
8,猫猫上课历险记！,https://www.bilibili.com/video/BV1bL411u7GU,戒喵中心,701535,812235,367,921,69902,0,2369,8906
9,小猫咪你洗澡倒是叫两声啊！,https://www.bilibili.com/video/BV12T4y1d7Dk,爪子殿下,638045,1644126,1527,6362,105885,0,22036,28071
10,神烦狗，表情包鼻祖，已经16岁了！,https://www.bilibili.com/video/BV1MP4y157mi,萌宠指南,587058,1121141,783,2119,108775,0,2650,8954
11,＃沙雕动物合集＃三,https://www.bilibili.com/video/BV13q4y1k7Gd,实时热搜转运,543444,513574,241,278,45352,0,479,4681
12,看小熊猫如何一秒钟入睡，做个好梦,https://www.bilibili.com/video/BV1Pr4y1y77d,非羊rl,530505,424680,395,1660,13112,0,3602,5281
13,幸亏我处置及时，不然佩奇真的要瘫痪了，养法斗的也铲屎官们也要提高警惕……,https://www.bilibili.com/video/BV1nf4y1T74L,小帅家的大狼狗们,529148,644520,371,2294,46139,0,809,2049
14,这。。。这也太可爱了吧！,https://www.bilibili.com/video/BV1R3411b7zd,下面由我来喵两句,499597,488309,491,1605,27847,0,2359,8196
15,今天把nana的老公Dakar接回家啦～,https://www.bilibili.com/video/BV1xq4y137SA,邓峰萌萌摔肿了,459024,363445,831,1718,40261,0,1487,2735
16,当我要把小猫咪送去猫咖打工！,https://www.bilibili.com/video/BV1yb4y187ZS,团宠酸奶妹,454097,309828,661,1756,27439,0,815,1427
17,《我不困鸭》,https://www.bilibili.com/video/BV1cR4y1t7zb,小透明阿九,448643,278562,209,1956,20776,0,6120,5009
18,养了狗之后发现十年真的好短，好短…,https://www.bilibili.com/video/BV1Ch411t7mE,是哈礼鹿呀,443883,252409,89,2180,33100,0,258,1819
19,原来照片里不是摆拍。#黑天鹅 #上头气氛大会,https://www.bilibili.com/video/BV15h411t7Y5,今晚内个不,439960,772797,70,455,82075,0,2216,8872
20,捡到一只狗 我送他回家 没想到还被他给撂倒了！,https://www.bilibili.com/video/BV1VS4y1d74p,逗比小贝基,438171,327630,400,829,20858,0,1411,1985
21,流浪的小橘在这一刻，有了想爱的人！,https://www.bilibili.com/video/BV1nT4y1d7CH,穷哥们茉日天,436666,644620,217,922,82687,0,3343,14814
22,试图把jiao臭吹散,https://www.bilibili.com/video/BV1Ef4y1T7jP,十万个冷沙雕,430479,347154,64,212,7851,0,5958,4604
23,巢中突然多出5只幼鸟，懵逼过后鸟妈全部收养了它们，鸟妈妈真的分不清哪只是它亲生的吗？它最后的举动很耐人寻味！,https://www.bilibili.com/video/BV1HT4y1974Q,有趣的斯德瑞,430120,507225,546,281,46784,0,243,3193
24,狗子:沾人的事你是一点都不干,https://www.bilibili.com/video/BV1xL411u7tt,某路直播,425335,409189,87,43,7004,0,502,3430
25,小猫咪取暖都这么硬核吗？,https://www.bilibili.com/video/BV17F411Y7ng,有喵万事足,422050,323005,369,225,14804,0,3466,3300
26,《动物迷惑行为大赏➐➐》,https://www.bilibili.com/video/BV1T341187qz,龙馍馍,411654,425598,1735,3422,37798,0,1314,2298
27,——姐姐壶里装的是什么酒？           ——天长地酒,https://www.bilibili.com/video/BV1534y1Z7bt,在下铁头阿彪,405264,206589,223,5817,27825,0,759,1840
28,太贪心啦，小口袋要装不下了...,https://www.bilibili.com/video/BV1jq4y1k7Xh,观察者网,376843,288818,119,187,18897,0,991,958
29,“猫咪：再不长毛，冻成狗了”,https://www.bilibili.com/video/BV1Jf4y1T7xG,奕奕一天,372552,303099,206,383,15404,0,2792,2212
30,面对突如其来的降温，这一院子的花草让我老公措手不及，幸好老爸早有准备，自己搭了一个简易的花房，但愿这些花都能平安过冬。冬天真的来了😼，春天也不远了😆,https://www.bilibili.com/video/BV1sb4y187E5,小鱼儿夫妇,370445,277577,298,492,21440,0,81,366
31,如果把羊和猪结合在一起...,https://www.bilibili.com/video/BV16b4y187ic,正经的知识,369578,255345,77,115,23403,0,565,840
32,关于我养的螃蟹给另一只螃蟹吃自己的屎这件事,https://www.bilibili.com/video/BV1wq4y137Dk,树的脊椎,362094,276525,147,407,12643,0,7568,4181
33,隔着屏幕都能感受到狗子的开心,https://www.bilibili.com/video/BV1d3411b77S,生活充滿希望,342184,182293,130,407,21118,0,1208,4328
34,铲屎的，没想到我会在这里吧,https://www.bilibili.com/video/BV1nq4y1V7GD,都市频道打鱼晒网,337120,438714,61,80,65328,0,823,3803
35,喂一次饭就少一根手指头,https://www.bilibili.com/video/BV1Y44y1e7HX,帮粿呆冲浪手册,336843,171638,413,4902,17935,0,768,2701
36,这么小嗓门就这么大 给你起名小喇叭吧！,https://www.bilibili.com/video/BV1eq4y137Cv,憨仔如花,322061,291077,593,301,30315,0,2539,6230
37,我们嘴里有毛又怎么了,https://www.bilibili.com/video/BV1Ub4y187rz,keai草,321247,354235,177,730,24850,0,557,1399
38,花20给发晴的小母猫找了个一次性男朋友！,https://www.bilibili.com/video/BV1YS4y1d7T1,麻蛋和丑丑,317774,236219,48,75,17575,0,421,614
39,猫咪冻jio名场面！,https://www.bilibili.com/video/BV1T3411C7Gd,Hosico猫,312776,273163,174,419,9323,0,954,1218
40,降温了，好几天没看见小橘猫了#边牧陈贝拉,https://www.bilibili.com/video/BV1xf4y1T7XG,边牧陈贝拉,305046,231975,364,564,15475,0,316,357
41,母猫都这么嗲么？公猫还在打架时，她已经钻被窝撒娇娇啦！,https://www.bilibili.com/video/BV1Vb4y187YV,泰哥是只小暖猫,304223,496921,302,792,38484,0,368,3243
