,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,我不想坐地铁上班啊啊啊啊啊啊啊啊啊,https://www.bilibili.com/video/BV1H34y1Z7mm,幾加乘,1395032,4350216,8092,495128,493016,0,47174,179619
1,青 青 焯 原,https://www.bilibili.com/video/BV1NL411u7e7,彩风君,1099753,1443188,601,6707,94562,0,16214,15558
2,我们真的把这个游戏做出来了,https://www.bilibili.com/video/BV1ab4y187Bp,小小约yoo,1089024,582099,1190,41754,54742,0,507,11228
3,【花花x瓶子】花花生日会花瓶连线全程！高血糖当场晕厥！胰岛素救一下啊！,https://www.bilibili.com/video/BV1s44y1e7zs,此时此刻·巍然,1082975,584098,5428,12587,31365,0,8578,17004
4,👻 往 生 堂 乐 团 🎺,https://www.bilibili.com/video/BV1HP4y157MG,空耳狂魔,924045,1970179,2134,39227,185697,0,52142,66510
5,当 代 游 戏 队 友 现 状 ！,https://www.bilibili.com/video/BV1F3411C7Px,三十六贱笑,921414,365179,1234,16509,59928,0,9135,11814
6,评分破亿！播放9.9！全网最炸裂三观的几大女角色！看完后我人都麻了！！！,https://www.bilibili.com/video/BV1JU4y1M7pg,鲁过一世,894213,649305,2090,12075,37407,0,981,8880
7,【微动画】诶？魔法棒的副作用？,https://www.bilibili.com/video/BV1xT4y197CM,理と迷宮の少女蓮華,874357,395141,75,1797,33776,0,3901,20307
8,印度：芜湖起飞！,https://www.bilibili.com/video/BV1NQ4y1D7Le,李志映画,859451,1050592,1802,6536,106745,0,899,10219
9,中国人不骗中国人,https://www.bilibili.com/video/BV1wR4y1t7NS,盖世猪猪丶,844319,3093124,2531,30916,213498,0,5648,12943
10,【原神手书】给我变！！！,https://www.bilibili.com/video/BV1Kv411M763,果蝇轰,825805,372364,743,7563,49865,0,1102,11242
11,“ B 站 用 户 现 状 ”,https://www.bilibili.com/video/BV1cr4y1C7SL,鸽一品,805991,1297829,1741,14019,117486,0,637,11838
12,火 箭 队 噩 梦,https://www.bilibili.com/video/BV1pL4y1v7Y4,允星河Yoseya,746812,361890,555,14925,42183,0,3119,7649
13,小时候看笑话，长大后看真实,https://www.bilibili.com/video/BV1YL411u7oc,黄方块和粉星星a,734522,618532,232,4915,39727,0,1055,16177
14,【明日方舟/群像手书】☆ 方 舟 嘉 年 华 ☆ 每一个博士的必修手书之不看真的血亏❤,https://www.bilibili.com/video/BV1uS4y1d7ho,鱿鱼大亨人偶妹,731980,179590,243,22988,33840,0,1166,13976
15,唐僧：谁说和尚不骗和尚！！？？《无间西游》,https://www.bilibili.com/video/BV1Mr4y1y7Um,芦苇十三少,672090,293993,739,23767,40293,0,339,4119
16,剧TOP：木暮的执着，湘北vs陵南生死战，经典热血动画《灌篮高手》（第四回）,https://www.bilibili.com/video/BV14R4y1E7Q6,电影最TOP,670681,338493,4407,21124,34925,0,518,4311
17,铁咩！鸡哥战斗1vN首秀来了！,https://www.bilibili.com/video/BV1LP4y1j7Rs,星有野,646602,349298,468,8764,49865,0,304,2732
18,《 只 要 是 日 语 就 画 风 突 变 》,https://www.bilibili.com/video/BV1Jq4y1V7re,绫人太太啊,643231,1684274,810,15797,134793,0,29450,40556
19,“阿福我啊，以前可是很强的！！”,https://www.bilibili.com/video/BV1qq4y137op,远星守望,618117,450268,213,2499,31913,0,2313,3845
20,【A-SOUL/舞台剧】逆天搞笑版《灰姑娘》！每 天 一 遍，烦 恼 再 见！,https://www.bilibili.com/video/BV1PF411Y76C,珈乐Carol,571082,122152,4035,16406,25671,0,1619,7544
21,【嘉然】咩~然小羊的“羊”语课堂开课啦！【直播】,https://www.bilibili.com/video/BV11Q4y1m71T,嘉然今天吃什么,537450,222766,906,8889,26620,0,1781,5090
