,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,【时代少年团】《这福气给你要不要》之食材已就位,https://www.bilibili.com/video/BV1hT4y197pH,TF家族,1446308,945501,73828,25337,77781,0,1953,14393
1,周杰伦这几句话，够我粉他一辈子了！！！,https://www.bilibili.com/video/BV1K3411C7ba,苏瑞ZXX,1147568,1104975,1573,12922,72700,0,2482,11095
2,【白敬亭】好久不见：生日流水账（28）,https://www.bilibili.com/video/BV1fr4y1C7N4,这个账号叫啥呢,1132526,267041,21543,46331,56639,0,4086,16023
3,李佳琦挑男模的眼光真的很考虑我们女生的想法嘞！大叔型我可以！！！！！！！！！,https://www.bilibili.com/video/BV1yU4y1g76w,蓝色的灰灰灰灰,944760,858753,1481,382,41830,0,13121,10632
4,@毕志飞：脚踏实地的纸上谈兵，持之以恒的自取其辱。,https://www.bilibili.com/video/BV1MF411Y73z,轩邈Elias,856064,629417,5746,9705,48733,0,3161,4136
5,刘哔吐槽，导演请指教先导片！蔡康永三顾毛儒不可得，毕志飞环顾四周无人应！,https://www.bilibili.com/video/BV1yf4y1u7Gu,刘哔电影,712566,510487,5717,8252,40948,0,1665,2308
6,上头！综艺也能狗血？《导演请指教》，看电影圈的大佬们激情对线！,https://www.bilibili.com/video/BV1Hq4y1k7d1,刘老师说电影,677905,501370,7244,3610,39856,0,1789,2122
7,【老邪吐槽】《导演请指教》：3.0分作品导演教你当影帝？！,https://www.bilibili.com/video/BV1mg411K7ke,老邪说电影,628982,461659,2284,2895,39400,0,591,1544
8,终于开始糟蹋导演了？！爆笑吐槽《导演请指教》,https://www.bilibili.com/video/BV1Bq4y137WB,开心嘴炮,505006,1212908,8156,5583,82389,0,4810,4176
9,当黄渤被认成王宝强  黄渤回复尽显高情商,https://www.bilibili.com/video/BV1cb4y187PB,_-Phoenix,419413,645221,132,179,80261,0,135,3792
10,第一章：铜雀荐舞宴群臣【舞千年】,https://www.bilibili.com/video/BV1HF411a7WX,舞千年,417273,2765118,46853,57175,83851,0,277,43
11,谈个恋爱还被淘汰！为爱发疯全员在演的抓马恋综《机智的恋爱》解说【哇妹】,https://www.bilibili.com/video/BV1Hq4y1k74L,哇哇哇妹,394100,272377,3985,3135,20034,0,1838,1273
12,明星们的憨憨行为，岳云鹏用炖肉料包泡茶喝，王嘉尔直播不可描述,https://www.bilibili.com/video/BV1Nb4y1h7oS,戴头叭叭,358050,785900,61,39,68194,0,71,1909
13,[威神V/WayV] [威神V-ariety] 👨✈️飞行员测试👨✈️ | 第一篇 : 飞机操纵能力 | 威神V航空✈️,https://www.bilibili.com/video/BV1FS4y1d7QR,WayV_official,353148,99023,5505,11450,13503,0,889,4708
14,郭德纲遇上杨紫   杨紫：大爷你尽管说，话掉地上算我输,https://www.bilibili.com/video/BV1iF411a7Ty,我喜欢吃蓝莓,322349,443513,75,64,68691,0,75,2663
15,第二期 原来猫猫的“霸凌”是一个圈？【动物圈的问号脸2】,https://www.bilibili.com/video/BV1nT4y1976b,综艺哔哔姬,314077,347227,707,187,2168,0,17,0
16,明星被粉丝支配，胡歌被夸长得特像罪犯,https://www.bilibili.com/video/BV1MR4y1E7BX,兜子娱乐,298447,509031,42,107,80990,0,20,2875
17,于谦烤串,https://www.bilibili.com/video/BV1cP4y157Dm,纲丝频道,277299,480852,88,43,13847,0,284,933
18,姐姐即使退圈了也让人念念不忘，媚骨天成说的就是她吧,https://www.bilibili.com/video/BV1aF411a78Y,青树柠檬爱剪辑,275677,400192,198,86,44473,0,85,2725
19,为什么古偶剧越来越难看？,https://www.bilibili.com/video/BV1sT4y1d7vt,三代鹿人,274076,1982683,15094,93348,268027,0,2306,24625
20,采访胡歌，居然大家都被他搞哭了？,https://www.bilibili.com/video/BV1jf4y1T7HX,原来是西门大嫂,246343,163964,418,2884,11582,0,398,1759
21,“撒老师一开口，便是一篇满分作文”,https://www.bilibili.com/video/BV1pU4y1F7UM,方哥为减肥吃素,235961,2444814,763,26868,191623,0,9318,114173
22,金晨直播场面一度无法控制,https://www.bilibili.com/video/BV1E3411k7Nv,恋姐达人,229671,393512,43,18,35792,0,79,1263
23,被网友逼疯的带货网红：一位卖海鲜的大叔被气的直接骂人,https://www.bilibili.com/video/BV1e3411k7hF,娱乐Q计划,221814,227856,94,24,6553,0,62,252
24,目 黑 莲 诱 捕 器！你 对 meme 的 快 乐 一 无 所 知！！,https://www.bilibili.com/video/BV1bT4y197N9,这里取名字好烦喔,217457,66556,266,1443,7144,0,630,5209
25,【高清纯享】 张杰 -《月亮之上》翻唱凤凰传奇 全新MIX-POP版本 rap部分点燃全场 「时光音乐会」,https://www.bilibili.com/video/BV1nF411a7d1,湖南卫视,217434,633242,11515,20113,33805,0,12333,18339
26,BY2【前任婚礼攻略！】参加前任婚礼应该如何打扮？,https://www.bilibili.com/video/BV1nq4y1k77R,BY2girl,211351,174776,298,805,5466,0,147,658
27,盘点那些文化输出名场面：徐明浩上演武术现场，王嘉尔一见面空翻,https://www.bilibili.com/video/BV1gf4y1u7g5,安安娱子酱,209831,736536,238,246,97915,0,282,7970
28,果然还是内娱人最懂内娱人,https://www.bilibili.com/video/BV14h41187rq,星探长娱乐,196371,1266686,104,726,138729,0,3754,15538
29,[GOING SEVENTEEN] EP.30 Insomnia-Zero Ⅱ #2,https://www.bilibili.com/video/BV1Hg411K7h1,SEVENTEEN,194244,58537,2712,7020,7718,0,285,2492
30,【时光音乐会】林志炫狂野版凤凰传奇《奢香夫人》豪迈挑战RAP,https://www.bilibili.com/video/BV1yQ4y1q7yi,林志炫,190638,578907,3204,19620,35837,0,5686,12223
