,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,老末逆袭！许三多破记录！《士兵突击》P4,https://www.bilibili.com/video/BV1rQ4y1m7fY,木鱼水心,2067763,909712,15078,90789,172611,0,1685,16531
1,是有多绝望！才会毫不犹豫跳下去……,https://www.bilibili.com/video/BV1x34y1Z7vd,寻糖巷陌,1673986,2422562,2454,15051,130660,0,5705,36627
2,直播虐杀，命悬一线！悬疑犯罪剧《逆局》第二期,https://www.bilibili.com/video/BV1YT4y197rm,小片片说大片,1070066,678996,2869,16882,79525,0,749,4717
3,我喜欢你，是坚定的选择，是温暖的陪伴！,https://www.bilibili.com/video/BV13q4y1V7WU,0011LLYY,981604,1517591,1495,5765,89094,0,5958,20381
4,好一个翩翩状元郎！可惜……纵有擎天架海之才，亦是逃不脱这樊笼……,https://www.bilibili.com/video/BV1tL4y1q7Pr,柯里昂为您效劳,945343,739084,1497,13843,45273,0,2505,21404
5,5天粉丝破5000万！这就是你口中炒冷饭、卖情怀的过气动作演员？,https://www.bilibili.com/video/BV1h34y1Z7kR,老驴故事汇,886468,908755,2789,7473,55452,0,1075,6320
6,中东的石刑有多残忍?父亲、丈夫、儿子亲手处决《被投石处死的索拉雅M》,https://www.bilibili.com/video/BV1y44y1e72E,阿斗归来了,870509,795021,6823,7405,41158,0,1773,4519
7,奈何，七尺之躯，已许国，再难许卿,https://www.bilibili.com/video/BV1Gh411t7DF,非非宇fay,854149,1660445,350,10775,118084,0,3745,20511
8,《敢 杀 我 的 马？！》可 爱 版！！！,https://www.bilibili.com/video/BV1mr4y1C7rN,一只喵MU,665610,440615,227,14702,31523,0,1201,5015
9,大 胸 到 底 有 多 难  ！！,https://www.bilibili.com/video/BV1oq4y1r7Rv,樱桃马天妮,661485,481073,162,674,37279,0,561,4090
10,强行伤痛，不知所云！逆天吐槽张子枫新作《再见，少年》,https://www.bilibili.com/video/BV1u341187dZ,开心嘴炮,659658,516855,5882,1988,37694,0,716,1708
11,流浪地球电影不敢拍下去的小说后半段，到底讲了些什么？【《流浪地球·下》—刘慈欣】,https://www.bilibili.com/video/BV1Du411o7L5,科幻视界,659080,1939996,1938,15388,98789,0,1860,17241
12,【男爵放映厅】张三 罗翔 张伟，三大法王齐聚釜山！,https://www.bilibili.com/video/BV1pg411K7Zj,马铃薯男爵的画廊,645400,253883,2857,30164,25988,0,1569,6638
13,陈翔六点半：电梯里的人情世故,https://www.bilibili.com/video/BV1sb4y187X7,陈翔六点半,642349,537974,372,2276,38594,0,480,817
14,晴雯之死隐藏的血泪史 是谁害死了她 晴雯影射熊廷弼 红楼梦背景原型解析,https://www.bilibili.com/video/BV1v34y1Z7xP,女王泡面,590233,274792,5714,15572,22174,0,1797,5503
15,后来才发现，唐氏表演法则居然全是真的！,https://www.bilibili.com/video/BV1fb4y1b7JQ,荒草音乐,541071,4704899,2425,14531,301268,0,1463,29408
16,“面若观音，心如蛇蝎” 这种反派太绝了,https://www.bilibili.com/video/BV1mr4y1C7A7,黑心的草莓硬糖,532047,750520,614,3186,41118,0,3969,16045
17,富豪租了一栋别墅度假，住进去后却发现不对劲,https://www.bilibili.com/video/BV1nb4y187cP,关关子子雄雄,516471,644382,209,117,21858,0,87,1959
18,“康熙，你退位吧，我保你终生富贵！”解读9.2分史诗国剧《康熙王朝》P2,https://www.bilibili.com/video/BV1hb4y187aM,大象放映室,499381,277638,4315,12279,24017,0,267,2933
19,“做生意如同交朋友 说不定有意外的惊喜”,https://www.bilibili.com/video/BV1ob4y187Fa,小bili影视,485526,448567,21,48,54367,0,24,2257
20,你要相信，这世间有光 %治愈系,https://www.bilibili.com/video/BV1pF411e7pL,南城一树,463178,3983791,2965,22245,337749,0,2384,47695
21,5年了，绝对要继续拍下去啊啊啊！,https://www.bilibili.com/video/BV1SQ4y1S7sJ,狂阿弥_,461129,1034551,4769,81871,92020,0,5786,24287
22,【low君】《胡歌专场—十大甜美CP》：双十一单身狗必看！每天一遍，预防脱单！,https://www.bilibili.com/video/BV12h411t7v3,low君热剧,440130,178969,4847,10339,27839,0,2287,3145
23,【西幻六大种族混剪】“这片大陆曾有无数神奇生物”,https://www.bilibili.com/video/BV15L411u7mR,强扭瓜蘸酱,439779,285815,637,12243,30316,0,1323,23096
24,现在我看到的世界，你也能看到,https://www.bilibili.com/video/BV19Q4y1q7H7,柳夜熙,438003,1798759,1390,4097,107335,0,2690,18343
25,精神病院的真实生活，最奇妙的人类聚集地，病人千奇百怪超乎想象,https://www.bilibili.com/video/BV1eq4y1578c,風哥电影,426541,3665973,6013,11391,164561,0,10107,47381
26,导演！！终于在古装剧里看见一位真的在写字！！在弹琴的男主了！！！,https://www.bilibili.com/video/BV1J44y1e7qu,甜饼sweet,421414,597821,1015,3678,43961,0,639,8050
27,7天不洗澡后果有多严重，看到结局，网友：想都不敢想！纪录片,https://www.bilibili.com/video/BV1Hq4y137We,小柴讲故事,419468,418280,282,143,7250,0,1101,1463
28,【老邪吐槽】《斛珠夫人》：滥用水军营销，剧情极其敷衍！,https://www.bilibili.com/video/BV1WU4y1g7zT,老邪说电影,416574,260467,3025,2842,26634,0,704,1182
29,男人们，有你喜欢的类型吗,https://www.bilibili.com/video/BV1zF411e76M,情调影视,413987,2980678,1474,13312,214424,0,10001,87721
30,救命！！我当时以为爸妈在吹牛！！！,https://www.bilibili.com/video/BV1K34y1Z75t,To明明,393433,3959953,2797,17729,201011,0,4027,30768
31,卧槽！我蚌埠住了！全是名场面！,https://www.bilibili.com/video/BV1Tb4y187Bj,子彧星塵,390090,3058388,1850,80058,224613,0,4553,52762
32,“五星红旗，你是我的骄傲！”,https://www.bilibili.com/video/BV1Lg411K7kz,A-小孔,371277,293062,105,313,25887,0,40,2167
33,这对象处得我有一点想哭！逆天吐槽又土又俗的爱情电影《有一点动心》,https://www.bilibili.com/video/BV1ar4y1C7vi,刘老师说电影,368095,247992,3532,1276,20923,0,181,1177
34,2021.11.09.| 哈尔滨冻雨 | 前方发生重大灾难，请各单位学校立刻停课，嘟~ | 末日灾难向,https://www.bilibili.com/video/BV11R4y1E7LH,葵呀么葵葵鸭,362251,257806,363,1169,11403,0,2542,2767
35,【中俄合拍】谁来证明那些没有墓碑的爱情和生命,https://www.bilibili.com/video/BV1Vv411M7Uo,倪咻咻-,357121,125675,276,2447,12025,0,775,8112
36,这大概是全球唯一能把私生饭聊到脱粉的明星吧！,https://www.bilibili.com/video/BV1xL411u7JW,张大帅太帅,353884,320333,88,80,8186,0,123,1417
37,这个老人满足了我对恶灵骑士的一切幻想，太帅了,https://www.bilibili.com/video/BV1NQ4y1D7hC,漫威小剪刀,353818,219164,44,243,24855,0,98,3121
38,两个爆笑小故事来了，开心一笑哈,https://www.bilibili.com/video/BV1e34y1o7pk,效忠东城卫,350836,485560,89,77,71293,0,138,3237
39,“每 天 一 遍，防 止 颓 废”,https://www.bilibili.com/video/BV1z3411C7JK,向上的可可,340037,4164952,3764,122480,279051,0,21812,199670
40,楼道的风和他的眼神，成了我整个青春,https://www.bilibili.com/video/BV1vq4y137tU,靖雅欧巴呀,337511,273753,405,271,11193,0,421,1575
41,王宝强：拍树先生的时候，我自己导演和现场所有人，都分不清我是演的还是真的！！,https://www.bilibili.com/video/BV1zQ4y1m7Zs,电影频道TV520,332131,300222,198,275,9567,0,102,770
42,救命！这真的不是忘了打抑制剂的Omega吗？！这谁看了能不迷糊！！！  【花无缺/谢霆锋】,https://www.bilibili.com/video/BV1wq4y1376u,普通恋情,323072,524447,710,3322,27056,0,2519,15475
43,【长月烬明|全员古装颜值牛逼症】导演：听说你们最近对古偶幻想快破灭了，在我这，不存在的！,https://www.bilibili.com/video/BV11f4y1u7tR,青木小墨,307181,566658,1313,1540,43140,0,4846,11370
44,【驼】都是傻白甜，为什么她就是可爱，她们就是招人讨厌【李玉湖】,https://www.bilibili.com/video/BV13341187nU,麦驼oat,305973,198668,2468,1908,16966,0,114,932
45,宇宙被一座巨型黑塔支撑，如今竟开始倒塌，引发大灾难！【科幻Fans 布玛】奇幻冒险电影《黑暗塔》,https://www.bilibili.com/video/BV1v44y1e7uC,科幻Fans布玛,303850,224242,1080,760,12339,0,83,1314
46,迪士尼肯定是御姐控！盖尔加朵确认出演白雪公主的后妈,https://www.bilibili.com/video/BV1T3411C7yd,电影冷知识,303280,214121,227,207,15782,0,119,1071
47,典狱长只记得圣经的内容，却不记得圣经的重量,https://www.bilibili.com/video/BV1PP4y157bB,曦月煊,295267,333041,97,56,23966,0,7,1052
48,传奇人物霍华德修斯   小李子主演 钢铁般的意志 不惜公司破产只为了梦想!,https://www.bilibili.com/video/BV1iq4y1r7sB,老实人讲电影,293377,560065,39,50,26675,0,23,2085
49,这一次，我一定要“赢”！,https://www.bilibili.com/video/BV1p34y1Z7b2,往往老布,291509,207738,462,3005,11797,0,265,1072
