,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,工作2年了才发现我员工信息栏的证件照是个猫头，大家以我为戒,https://www.bilibili.com/video/BV17b4y187Z1,隔壁公司的傻狗,1469367,1755977,729,1978,122853,0,11126,11354
1,这只狗…让我开心了两天两夜,https://www.bilibili.com/video/BV1qh411t7Fu,动物治愈大师,1431601,2272042,1397,3743,152385,0,10599,20898
2,“未经狗苦，莫劝狗善”,https://www.bilibili.com/video/BV1644y1e787,归来仍是少年314,1141239,2131658,1651,2735,147770,0,7100,19712
3,我连指纹都画了！什么时候能火一把啊~,https://www.bilibili.com/video/BV14Q4y1m7Bz,有点艺思哦,897279,1239035,1146,30834,194278,0,1977,19309
4,奈何，七尺之躯，已许国，再难许卿,https://www.bilibili.com/video/BV1Gh411t7DF,非非宇fay,854149,1660445,350,10775,118084,0,3745,20511
5,轮椅冰壶世锦赛，中国队最后一投完成不可能完成的任务！逆转瑞典获得冠军！太不容易了！,https://www.bilibili.com/video/BV1er4y117ns,恋爱像奶茶一样美味,827814,1600688,549,1844,166671,0,1175,9399
6,韩剧照进现实！！！孔刘在首尔江南区帮我老师的朋友停好车的故事！！！！！,https://www.bilibili.com/video/BV1xg411K75K,再吃肥就白减了,802585,490202,1978,3399,46716,0,12033,10499
7,最后一局看的我心惊胆颤 连夜给兄弟们更稀,https://www.bilibili.com/video/BV1VT4y197ug,叫兽来了一级团,710179,1046986,393,3887,56303,0,6437,6171
8,大 胸 到 底 有 多 难  ！！,https://www.bilibili.com/video/BV1oq4y1r7Rv,樱桃马天妮,661485,481073,162,674,37278,0,561,4090
9,没带钥匙被我妈支去对门前男友家里并且吃了顿饭这件事,https://www.bilibili.com/video/BV1tv411M7Gn,东北lisa分sa,658529,402839,8675,6837,37460,0,2583,3093
10,母子在家尝试做爆米花，一锅爆米花成功后，承包了母子一整晚的快乐,https://www.bilibili.com/video/BV1rF411a7h7,山西融媒体快报发布,650091,994364,161,292,94721,0,710,4887
11,【SERGEY谢尔盖】👍帝王蟹来了！｜今天蒸大螃蟹吃，一口一口超满足！搭配香料酸奶油酱，来尝尝俄式蘸料带来的美味吧~｜烹饪过程 & 咀嚼音助眠,https://www.bilibili.com/video/BV1Cb4y187hU,SERGEY谢尔盖,611352,377488,1918,11738,32585,0,959,2822
12,游戏史上最神奇的职业选手，丢出一颗价值7.5万元的闪光弹？,https://www.bilibili.com/video/BV1tb4y187tZ,陨落的天才_,607175,429907,105,100,42751,0,88,2033
13,原来真的有人，从一开始就把对方计划在自己的未来里了,https://www.bilibili.com/video/BV18q4y1r72E,悠爸长不胖,554035,1389564,3871,91676,115542,0,22012,29661
14,历届S冠选手夺冠年龄排行榜【从小到大】，EDG是历届平均夺冠年龄最大的队伍，敢追梦不怕输比谁都了不起！,https://www.bilibili.com/video/BV1bL4y1q7YK,小太阳js,539252,564047,1917,1095,13730,0,427,1616
15,当我作死在电脑上下载了p2p下崽器后,https://www.bilibili.com/video/BV1Wv411T77m,痞仔伯爵,516969,2455259,7154,32300,125534,0,5225,96286
16,不讲晚清西北边疆的英俄博弈，下集我就没法讲左宗棠【傅正10】,https://www.bilibili.com/video/BV1i44y1e7fF,傅正_,514866,294516,1830,8179,21648,0,657,4603
17,一起守卫长安城的光吧,https://www.bilibili.com/video/BV1dv411T7br,LuFee__,513351,332112,292,3693,29567,0,455,2560
18,若想念是凋谢的云，乘着风也要飘向你,https://www.bilibili.com/video/BV1D34y1o7zW,迟迟chichiB站,511561,535167,106,1099,59416,0,596,16303
19,《杀死那个石家庄人》希望大家喜欢哈哈,https://www.bilibili.com/video/BV1Yf4y1g7Na,_高_桥_凉_介_,484582,8073984,7598,452148,769084,0,49964,270026
20,画面感人！女子无奈把宝宝遗留在地铁站台，流浪男子举动温暖人心,https://www.bilibili.com/video/BV1hf4y1T7VN,陆玖资讯,473129,650242,81,106,53560,0,30,1610
21,成都某高校因工作人员黄码无法进校，该校烹饪专业学生提前“就业”。学生：菜多到盖不上！,https://www.bilibili.com/video/BV1734y1Z7e4,星瀚娱乐,466396,504875,54,40,14354,0,524,943
22,你要相信，这世间有光 %治愈系,https://www.bilibili.com/video/BV1pF411e7pL,南城一树,463178,3983791,2965,22245,337749,0,2384,47695
23,呀吼～，你裂的这么欢,https://www.bilibili.com/video/BV1444y1e7Ei,兔八哥的奇妙之旅,460073,451541,61,50,21876,0,319,1664
24,5G，华为，土耳其——我花了两个月，搞懂了5G背后的秘密,https://www.bilibili.com/video/BV1fq4y1g7hq,老奇好好奇,459887,5756459,22051,781308,694278,0,77312,372501
25,人类幼崽的双眼皮进化史～,https://www.bilibili.com/video/BV1734y1Z746,大力金刚皂_,445284,338552,69,87,27201,0,241,730
26,原来照片里不是摆拍。#黑天鹅 #上头气氛大会,https://www.bilibili.com/video/BV15h411t7Y5,今晚内个不,439960,772797,70,455,82075,0,2216,8872
27,巢中突然多出5只幼鸟，懵逼过后鸟妈全部收养了它们，鸟妈妈真的分不清哪只是它亲生的吗？它最后的举动很耐人寻味！,https://www.bilibili.com/video/BV1HT4y1974Q,有趣的斯德瑞,430120,507225,546,281,46784,0,243,3193
28,有一个虚拟主播室友是怎样的感受 part.2 【折原露露】,https://www.bilibili.com/video/BV1n34y1Z7hP,长颈鹿的反射炉,427893,401772,156,277,34646,0,271,3974
29,苍狼特木尔，这是真的苍狼~,https://www.bilibili.com/video/BV1UQ4y1S7BE,哈德桑,424110,259178,141,6223,9153,0,4187,6208
30,差点吓死！从泡泡里面跑出一堆蜘蛛,https://www.bilibili.com/video/BV1HL411u7uW,泡泡魔法师Kieron,418497,387100,31,84,14536,0,53,859
31,第一章：铜雀荐舞宴群臣【舞千年】,https://www.bilibili.com/video/BV1HF411a7WX,舞千年,417273,2765118,46853,57175,83851,0,277,43
32,Scout:我很早前就不再是你的替补了，但你依旧是我的偶像《为李哥报仇》,https://www.bilibili.com/video/BV12f4y1u7u6,倩倩电竞,399385,403835,30,255,20508,0,187,1501
33,瑜伽女孩｜站立一字马,https://www.bilibili.com/video/BV16Q4y1m75u,潘伽人yoga,397823,283124,143,290,9814,0,362,4473
34,你们要的灰色轨迹来啦！一人一乐队，弹，唱➕solo,https://www.bilibili.com/video/BV1af4y1T7Gr,焦点吉他弹唱,395781,335053,971,31808,25068,0,1366,7136
35,【地平线5】全自动驾驶百万经验蓝图，50圈高速公路自动刷经验、技术点数、CR及抽奖次数,https://www.bilibili.com/video/BV1fq4y1r7YF,懒奥会选手,395670,171722,125,5174,4937,0,2029,8856
36,30天过十遍考研单词,https://www.bilibili.com/video/BV1rh411t79d,哈哈必上岸up,390516,261237,421,9476,13918,0,1920,39729
37,周姐说：你们是不是对我有非分之想啊。,https://www.bilibili.com/video/BV1hP4y1j7jp,阿尔卑斯山的宁静,379472,251602,14,72,27774,0,50,1095
38,东北的暴雪有多大,https://www.bilibili.com/video/BV1wq4y137Kk,张于不吃姜,369203,297614,424,82,13484,0,4068,1368
39,英国老哥吹唢呐庆祝EDG夺冠！我们是冠军,https://www.bilibili.com/video/BV1vU4y1g7yy,JoeCreator,367579,322599,1333,8633,25898,0,434,1543
40,他是达康书记的原型，在任期间争议不断，卸任之时数千百姓跪求他别走。真正的人们公仆，人民的好市长 耿彦波,https://www.bilibili.com/video/BV1xQ4y1q7d6,八宝故事会,361738,3959699,4563,19783,339153,0,5209,34937
41,《什 么 叫 正 经 啊 ？》,https://www.bilibili.com/video/BV1v34y1Z7P6,二酱不怕不怕,360418,281911,364,600,15678,0,565,1052
42,地下室里“养人”喂的是狗粮,https://www.bilibili.com/video/BV1ar4y1C7vu,深夜追了个动漫,358038,256939,34,33,28138,0,57,1480
43,【一周见效】纠正骨盆前倾，平坦小腹，解决腰痛，无场景限制,https://www.bilibili.com/video/BV1o3411b7T9,郝强Fit,357421,76215,245,4067,4447,0,639,13129
44,酱 紫 送 ？【LOL小剧场】,https://www.bilibili.com/video/BV1Lq4y1k7T4,迅捷画手Trollya,355896,254515,322,2448,17381,0,602,959
