,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,cos可莉出门玩雪啦！东北暴雪差点没把我埋了！怒！,https://www.bilibili.com/video/BV18U4y1g7fk,小小的小兔团儿,925729,768681,952,4869,44410,0,3019,8455
1,秋冬围巾系法|教你一招变韩剧女主风（这么丑的围巾都能系这么好看，你们肯定也能行哈哈,https://www.bilibili.com/video/BV1d3411b7kH,爱美酱图图,672127,303820,169,1437,21997,0,630,27538
2,1个细节，拿捏马丁靴的搭配奥秘，怎么穿都好看！,https://www.bilibili.com/video/BV1hq4y1r7sV,怪力老陈,605672,1767950,1591,10612,119864,0,6050,33336
3,【拆解】8件大牌顶级羽绒服！200元+下雪热出汗！,https://www.bilibili.com/video/BV16T4y197dH,小周DD潮流频道,544504,464714,1088,12461,17694,0,4009,13887
4,夫妻日常｜为什么男生对辣妹连衣裙反应都这么大？,https://www.bilibili.com/video/BV1qb4y1874h,TJandClaire,500315,713724,334,1285,53277,0,2531,9833
5,「动漫人物命名」的9种围巾系法，打造你的冬季限定皮肤,https://www.bilibili.com/video/BV1ES4y1d7bv,一口蛋糕酱,460577,198941,1306,5662,11782,0,739,9680
6,EDG打决赛时，老公第一反应想封住我管泽元的嘴！,https://www.bilibili.com/video/BV1bL4y1q7Ss,秀芹在此,424346,359541,1928,4203,14673,0,2465,1157
7,路人变动漫女主的穿搭！jk制服yyds,https://www.bilibili.com/video/BV18U4y1g7Lu,凛子同学提不起劲,350500,665064,1301,9394,29159,0,3295,14729
8,口内洗牙视频，超解压！看完后整个人的舒服了！,https://www.bilibili.com/video/BV1FQ4y1D7xJ,牙医A中国牙骑士,345485,809635,484,288,10632,0,2644,2078
9,咱就是说400以内，想买件正儿八经羽绒服？,https://www.bilibili.com/video/BV1TP4y157TE,于是吉,333275,205238,781,1100,5920,0,1397,5142
10,嘴唇干？开裂？怒花4万，我居然测到了没啥用的唇膏！【老爸评测】,https://www.bilibili.com/video/BV1zQ4y1S71f,老爸评测,322398,1418988,4150,124541,152860,0,9174,26155
11,变装合集丨超高画质，多重享受【4K60帧】,https://www.bilibili.com/video/BV13q4y137Xu,阿狗君啊,302386,291329,123,1756,42382,0,582,7774
12,冬季买大衣🧥必看！全部下水给你们试过了!🈚️雷！,https://www.bilibili.com/video/BV1Sr4y1C7Wr,果果队长,267910,107208,2476,5376,10485,0,352,3840
13,收集了十几个ins韩国自拍博主的照片，出来打破你对自己颜值认识系列的眼妆教程。,https://www.bilibili.com/video/BV1Xu411o7hL,每天一个化妆小技巧,247415,201588,57,226,9838,0,149,9934
14,冬天的安全感 秋裤能给睡衣也能给！| 旭儿,https://www.bilibili.com/video/BV1Ch411t7sY,叫俺旭儿,232533,154794,89,167,14360,0,121,559
15,「Jelly」看起来很贵！双十一开箱平价小众透明水晶高跟鞋 独特新款脚链设计优雅,https://www.bilibili.com/video/BV1DQ4y1S7dU,jelly爱买鞋,223051,109077,51,855,3247,0,185,4694
