,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,【零元购】50W粉送车大福利来了！！！！,https://www.bilibili.com/video/BV1y44y1e7kb,Upspeed盛嘉成,1401175,785948,17542,50045,54818,0,22710,18918
1,我们斥巨资拍了一部魔幻连续剧！[第一集],https://www.bilibili.com/video/BV1xP4y1j73x,小缸和阿灿,914799,336891,2807,43932,49447,0,417,7778
2,零下10几度睡房车里，飞儿冻的睡不着，里外像冰箱一样！,https://www.bilibili.com/video/BV1F341187hJ,杨旭游记,573277,468729,2367,4406,28153,0,287,1163
3,西藏仍在使用的天葬院，实地参观后，对生命有了新的感悟,https://www.bilibili.com/video/BV1L44y1e79J,巡游轨迹,554715,380356,2470,8400,15981,0,4100,5035
4,人均500块的广州路边摊 有多好吃？,https://www.bilibili.com/video/BV1yr4y1C7bX,极速拍档,529900,330724,2785,9273,24446,0,2165,3142
5,测评雪铁龙凡尔赛C5X,https://www.bilibili.com/video/BV1nv411M7fc,38号车评中心官方账号,299816,188803,4979,4171,9049,0,958,938
6,比宝马好开 比奥迪快 比奔驰豪华 但你买吗？,https://www.bilibili.com/video/BV1Gq4y137Sn,极速拍档-Jacky,278555,219788,2215,1276,8906,0,725,841
7,漫谈丰田汽车,https://www.bilibili.com/video/BV1e34y1o7BC,保守派车迷刘同学,265200,4372492,8362,30545,179043,0,52417,24032
8,快速路上，全是大货车，我们开小车的，一定要懂得这些开车意识,https://www.bilibili.com/video/BV1BR4y1E7Dj,手动挡爱好者关哥,260929,176801,229,2096,9273,0,343,1699
9,可可西里大降温！住在温暖的房车里喝热茶看藏羚羊！【VanLife】,https://www.bilibili.com/video/BV1m3411b7s2,十三要和拳头,260279,185331,846,2796,10805,0,393,739
10,自制1970款道奇战马：千辛万苦，初见雏形！,https://www.bilibili.com/video/BV14P4y1j7mz,九月流转,255109,595685,942,13724,21247,0,619,4629
11,排面！我终于收到了保时捷的邀请,https://www.bilibili.com/video/BV1Ub4y187XT,福乐小哥,244133,194405,381,832,8795,0,110,594
