,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,B站的朋友们！这就是哥谭噩梦的老婆！你们要看的“哈莉奎茵”～哥谭噩梦的vlog,https://www.bilibili.com/video/BV1oh411t7vy,哥谭噩梦赫然,2360375,2798250,12587,63032,206671,0,16241,14552
1,早知道消防队这么玩我就不来了,https://www.bilibili.com/video/BV1BL411379J,凉风Kaze,2208450,1101952,6325,112415,175220,0,1551,25015
2,一分钟教你堆个不太一样的雪人,https://www.bilibili.com/video/BV1vg411K76e,Melonshu,2013221,2047062,1886,38607,194422,0,35092,32303
3,摊牌了，我们俩是b站最土的人！！！,https://www.bilibili.com/video/BV1c34y1Z7pq,宝剑嫂,1989118,1214375,12693,37983,204750,0,5173,9603
4,《 让 搁 这 飞 》,https://www.bilibili.com/video/BV12R4y1E7bE,KILLLER绅士,1883903,1665966,2009,84897,137055,0,30394,43049
5,过年....不是，过节啦！记者节放假是不可能放的。没有空拍视频，只好拿照片敷衍你们了[doge][doge]从青涩记者到老记者，变的是容颜，不变的是心态,https://www.bilibili.com/video/BV1DL4y1q7Ta,吃花椒的喵酱,1778182,1122366,1848,38826,146578,0,3395,11764
6,老板：“请把这个冬瓜给我雕刻出EDG夺冠的样子！”,https://www.bilibili.com/video/BV1CQ4y1m7JR,三毛水果艺术,1663165,2296346,4794,152340,232718,0,8214,26157
7,回顾自己最开始网购都买了一些啥，太羞耻了！,https://www.bilibili.com/video/BV1jU4y1M7VW,中国BOY超级大猩猩,1530991,1047080,10579,24161,120670,0,1423,11772
8,白天学校通知：恶劣天气尽量别出门我：哈，什么极端天气能打倒东北人晚上的我：（一边猴叫一边往回跑）,https://www.bilibili.com/video/BV1JF411Y76b,白光鱼鸟,1500998,2269531,751,1486,123037,0,10273,8822
9,水晶鞋特效有多离谱：这个特效多少有点不礼貌了,https://www.bilibili.com/video/BV14q4y137Bn,因特奶婷,1425997,2418128,1757,7242,132928,0,42324,37368
10,史上最离谱随机挑战！我们终于去老番茄家蹭饭了！！【第七期】,https://www.bilibili.com/video/BV1Kh411t7dZ,雨哥到处跑,1308148,8680660,168317,1008380,1700867,0,47174,267374
11,这样的室友应该不会害我,https://www.bilibili.com/video/BV1xh411t77J,自来卷三木,1207708,754795,2129,23721,82308,0,1120,8304
12,漠叔四平拍戏被赶回海南，导演在海南旅游被碰着,https://www.bilibili.com/video/BV1yf4y1u7rb,大漠叔叔,1181622,1702900,4807,40090,160660,0,3220,7581
13,全国哪个地方的辣椒最辣?  小伙一次性全买了.人生中第一次被辣哭！,https://www.bilibili.com/video/BV1xP4y1j7MA,东尼ookii,1169431,1073096,10175,12178,89837,0,1432,4780
14,全网寻找别人家的小孩,https://www.bilibili.com/video/BV19g411K7HG,papi酱,1158357,880861,818,4736,103314,0,1584,3443
15,“你的广东好友已退出群聊”,https://www.bilibili.com/video/BV17U4y1M72i,秃马君,1152382,1131618,2616,3999,67597,0,12729,11006
16,内容看完过度舒适,https://www.bilibili.com/video/BV1KS4y1d7hY,狈总,1134546,1407197,732,1212,94286,0,1629,2981
17,揭秘向丨什锦区up主会收到哪些商单邀请？,https://www.bilibili.com/video/BV15T4y197WT,-LKs-,1127545,445877,5376,41030,69959,0,722,8983
18,详细描述我受伤的全过程，希望大家能以此为戒，保护好自己,https://www.bilibili.com/video/BV11h411t7gZ,小航酸,1125519,1059499,3501,65196,77506,0,10278,11195
19,L o s e r,https://www.bilibili.com/video/BV1z44y1e7tm,矮油王老六,1080680,961492,1135,4570,82969,0,856,4466
20,“当丁达尔效应出现的时候 光便有了形状”,https://www.bilibili.com/video/BV1ZP4y1L7nV,-李淑芬-,1069360,532507,804,9875,43396,0,3070,23604
21,那夜我拨通了小卡片上的电话，然后屋子里站满了人……,https://www.bilibili.com/video/BV1bL411u7B2,策划大师孙空空,1057821,986828,978,20200,54945,0,4999,6539
22,果然是这个坏女人笑到了最后,https://www.bilibili.com/video/BV1HU4y1g7qg,真子日记,1040213,1358932,2333,4392,93090,0,2225,3700
23,史上最全！人体工学椅选购指南 | 先看评测,https://www.bilibili.com/video/BV12g411K7rB,先看评测,1012608,589097,5642,89220,74457,0,10245,45708
24,【cheems】十二生屑闯江湖,https://www.bilibili.com/video/BV1ES4y1d7su,淦斯巴达,1010802,678596,640,11207,44118,0,11587,17354
25,网红景点 翻车实录,https://www.bilibili.com/video/BV1qf4y1u7s3,网不红萌叔Joey,953601,1201509,2377,1702,101221,0,1980,6871
26,EDG夺冠倒立绕长安大学操场走一圈，中国人不骗中国人,https://www.bilibili.com/video/BV1pb4y1876N,Power-柠可,951321,1128756,4310,58850,106575,0,5367,8144
27,台湾一对新人是周星驰的影迷，这是他们的结婚典礼,https://www.bilibili.com/video/BV1Rb4y187VF,帅帅的梁萧,935463,599079,947,3321,51453,0,9121,11806
28,恭喜EDG得到世界冠军！记得饮茶,https://www.bilibili.com/video/BV1Eb4y1878w,饮茶哥Elvis,933452,543183,1724,15782,70734,0,1761,3398
