,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,日语教程【0-N1】全套合集!目前最完成的日语教程~从五十音开始学！,https://www.bilibili.com/video/BV1v34y1Z7rQ,言趣日语木子老师,2040235,600122,2351,70397,67772,0,4132,196088
1,如何在没有人质的情况下拿到赎金？【硬核狠人15】,https://www.bilibili.com/video/BV1BL4y1q7NT,小约翰可汗,1783793,1393740,11694,57236,115667,0,3151,18294
2,爆肝9h，刷完肖八，送上笔记！【全网首发/空卡】,https://www.bilibili.com/video/BV1LP4y1j7os,空卡空卡空空卡,1716805,660270,9677,53041,80921,0,10230,53095
3,空中无限出牌，原来这么简单，网友直呼学废了！,https://www.bilibili.com/video/BV1ib4y1b7UC,天庭魔术,1573003,2762136,3217,57160,218805,0,3685,89303
4,【医学博士】为什么越睡越困？丨如何高效睡眠？,https://www.bilibili.com/video/BV14P4y1j7RL,兔叭咯,1526001,902618,16782,25953,96207,0,10351,21590
5,中国国家地理的淄博营地，秋天赏红叶的好地方,https://www.bilibili.com/video/BV11Q4y1m7oj,无穷小亮的科普日常,1419971,1248349,6366,14292,119885,0,5273,7575
6,真人版“楚门世界”：直播31天月入130万美金，却让他怀疑人生,https://www.bilibili.com/video/BV1qT4y197tu,42号星球,1309697,1460042,484,389,197483,0,514,10380
7,“在日落大道浪漫出逃，除了风没有别人知道”‖温柔且浪漫的文摘,https://www.bilibili.com/video/BV1LL4y1v7d9,佳文Colorful,1017103,401111,429,9933,32181,0,1181,32699
8,那个一生都在盼望国家统一的男人【毒舌的南瓜】,https://www.bilibili.com/video/BV1qh411t7dL,毒舌的南瓜,944227,444847,6282,20408,40034,0,2791,12349
9,「高中数学」如果你被「函数」烦恼，花10分钟解决你！,https://www.bilibili.com/video/BV1tq4y137rW,分析师凯子巨人,934080,371326,1077,16372,30086,0,2440,46726
10,“旱地行舟”为什么能震撼美国一整年【亚洲特快】,https://www.bilibili.com/video/BV13F411Y7xQ,观察者网,932872,681395,6421,9381,53387,0,4112,5814
11,海底捞为什么捞不动了：告诉你新加坡首富的财富密码,https://www.bilibili.com/video/BV13v411M7ag,珍大户,924047,807328,3913,12842,33456,0,5986,8256
12,你猜最后秦王看到了啥？,https://www.bilibili.com/video/BV1Cf4y1u7ir,正经的知识,887954,680651,169,216,64525,0,1683,3898
13,【收藏向】究极版人生必看神级自然纪录片推荐 ！,https://www.bilibili.com/video/BV1xT4y197KH,龙女之声,860714,446594,794,7561,23658,0,614,18938
