,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,自制钢琴烤串车,https://www.bilibili.com/video/BV1334y1Z7kq,手工耿,3724786,2676108,30297,274992,351242,0,68423,55835
1,【iPhone慎入】12个冷门绝佳安卓App，你未必全知道！！！,https://www.bilibili.com/video/BV1g341187b2,某科君,1900378,1668830,2642,44292,89172,0,3205,143539
2,白嫖香不香？150W跑分的电脑抽奖，还不快来，80万粉庆仅限B站,https://www.bilibili.com/video/BV1RQ4y1S7J4,AS极客,1575250,529433,16453,47849,41685,0,14695,20350
3,【庆祝EDG夺冠大抽奖】送大家77份白嫖17777元的电脑礼品！人人都有参与感！,https://www.bilibili.com/video/BV1Ch411t7SD,装机杀手代号47,893202,1323865,13960,30227,64248,0,3900,9112
4,最便携的iPad，我们能拿它干点啥？——iPad Mini6 【值不值得买第517期】,https://www.bilibili.com/video/BV1J34y1Z7jp,TESTV官方频道,779702,427268,2965,21444,34205,0,1165,6373
5,【亦】主机时代落幕？掌机主机PC大一统！唠唠分布式计算如何颠覆家庭娱乐生态,https://www.bilibili.com/video/BV1g341187id,林亦LYi,771198,246998,1949,30969,28919,0,1979,12144
6,【抽奖预告】感谢陪伴 送一台百万跑分的鬼灭联名电脑！仅限B站！,https://www.bilibili.com/video/BV1Mq4y137Pk,和微论件,664308,183381,4016,21307,15281,0,6744,9224
7,「小白」 2021手机旗舰处理器大横评：骁龙苹果麒麟乱战,https://www.bilibili.com/video/BV1Yr4y1C7QK,小白测评,641125,376006,3622,13881,28300,0,1214,3837
8,《闪》,https://www.bilibili.com/video/BV1bb4y187Dh,马鹿blyat,604033,347193,762,11254,38594,0,6549,3892
9,2021年双十一手机和耳机推荐,https://www.bilibili.com/video/BV1HL411u765,喵喵折App,579566,401229,434,6578,21299,0,2840,4114
10,动员汪星人拍摄，在它们的世界惊喜连连,https://www.bilibili.com/video/BV1Fb4y1a7oL,创意摄影师Jordi,556311,644756,133,832,16657,0,374,6122
11,[盲测+上手] 100~2000键盘能按出区别吗？推荐避坑指南 如何选一把合适的键盘！,https://www.bilibili.com/video/BV1dQ4y1S7TC,大狸子切切里,529747,269613,3325,9235,21909,0,1183,5217
12,社交牛逼症专用痛机,https://www.bilibili.com/video/BV12h411t76P,吾名FZ,519401,451756,176,387,23034,0,1903,6131
13,当我作死在电脑上下载了p2p下崽器后,https://www.bilibili.com/video/BV1Wv411T77m,痞仔伯爵,516969,2455259,7153,32300,125533,0,5225,96285
14,【华为MateBook系列】把手机App装进电脑里之安检篇,https://www.bilibili.com/video/BV1uF411Y7XC,华为终端,485937,434569,206,486,22863,0,917,1259
15,危险重型锤锻工艺，优秀的锻钢工人,https://www.bilibili.com/video/BV1GF411Y7rN,机械猎手,481769,459266,2228,391,11858,0,355,2056
16,【少女心炸裂】毛坯房从零开始 爆改成超温馨电竞梦想小屋！,https://www.bilibili.com/video/BV1pg411K7M9,阿狸才不是受,470100,281163,826,8065,17223,0,1464,4227
17,【剪 辑 大 战】史 上 最 牛 剪 辑 师 ！,https://www.bilibili.com/video/BV1Hf4y1T7Rd,影视飓风,444952,196125,1788,10197,25579,0,1247,3853
18,自制锁尼相机，让一句调侃变成现实,https://www.bilibili.com/video/BV1P3411C7EQ,极客匠,441387,856319,3582,47836,72720,0,11491,16514
19,早 期 C4 制 作 过 程,https://www.bilibili.com/video/BV1fL4y1i7Q2,开箱嘤嘤怪,430262,1761448,3575,7752,126518,0,11223,13474
20,AMD：明年96核 后年128核,https://www.bilibili.com/video/BV1B44y1e77N,蒸気火鸡,372661,248826,635,2737,19209,0,1748,1167
21,【笔吧科普】双11买的笔记本收到了？猪王教你怎么验机！,https://www.bilibili.com/video/BV1QR4y1E7Br,笔吧评测室,368284,140363,628,5336,10819,0,1187,7277
22,【何同学】我做了苹果放弃的产品...,https://www.bilibili.com/video/BV19v411M7Rs,老师好我叫何同学,350105,16211976,67264,2688811,2547938,0,365672,813919
23,【好物】3元~249元！5个神奇好物推荐！,https://www.bilibili.com/video/BV1v34y1o7GX,陈抱一,337582,867213,4540,9917,30686,0,1928,8513
24,这个大彩电，让你重燃对PS5购买热情|SONY-X90J,https://www.bilibili.com/video/BV1hF411Y7Ea,STN工作室,335908,193011,1680,3760,17893,0,441,1725
25,【vlog】去现场看神舟十三号发射是什么体验,https://www.bilibili.com/video/BV1kT4y1d77T,才疏学浅的才浅,317456,343386,5585,24776,46982,0,553,9948
26,一条广告视频“赚”6亿！22岁的何同学到底凭什么？,https://www.bilibili.com/video/BV1pL411u7ac,老油条说,305698,314977,101,420,13420,0,93,1874
27,【第一人称创意】 有魔法就是可以为所欲为  |   DJI Action 2,https://www.bilibili.com/video/BV1Hr4y117FM,不自由摄影师winga,302515,4450339,2044,88811,413813,0,18419,92335
28,最全能的扫拖机器人？科沃斯X1 OMNI 深度体验,https://www.bilibili.com/video/BV1xg411K7gm,先看评测,300492,271052,832,2427,7241,0,1093,959
29,"好家伙,这就是未来的手机？",https://www.bilibili.com/video/BV1cL411u7TJ,热男HotGuys,286780,94626,2540,12611,14493,0,320,2388
30,原神限定一加9RT开箱，社死手机真是太好看了。,https://www.bilibili.com/video/BV1Hv411M7hw,凌寒水,277590,254487,113,47,8991,0,1158,623
31,【长话短说】拳打牙膏厂，脚踢按摩店，苹果M1Max是怎么做到的？,https://www.bilibili.com/video/BV1pT4y197vE,短的发布会,269316,186300,512,602,13826,0,222,691
32,值得尝试的20个手机创意摄影,https://www.bilibili.com/video/BV1QL4y1B7n1,Fotoglobal,264769,4847791,3073,9482,267875,0,9700,140269
