,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,把剔掉154根骨刺的鱼肉，倒进不见一粒米的粥中…,https://www.bilibili.com/video/BV1HF411Y7Ux,绵羊料理,3649104,3579490,20111,176472,381430,0,12490,50880
1,上海最大帝王蟹！一蟹4吃，光吃蟹腿就能饱了！,https://www.bilibili.com/video/BV1FF411Y7yG,盗月社食遇记,2154095,1639468,8341,85094,181205,0,4000,18111
2,帅小伙自制学校门口炸串，一次吃爽，味道比学校门口卖的还好吃！,https://www.bilibili.com/video/BV1xP4y1j7xe,记录生活的蛋黄派,1974954,1465074,13629,40657,185980,0,2808,13078
3,冬天来一整条大羊腿，搭配秘制料汁，味道那叫一个绝~丨蘸水羊肉,https://www.bilibili.com/video/BV11b4y187Kw,老饭骨,1353989,748292,1823,27165,52105,0,7034,30278
4,"KFC竟然出了韩式炸鸡,29.9一份到底好不好吃?美食探店/无广试吃员",https://www.bilibili.com/video/BV1nv411M7aG,小紧张的虫虫,1323951,1094457,4645,35550,87193,0,4246,7421
5,试吃2021全球十大泡面，小伙吃了整整三天，终于找到最好吃的一款,https://www.bilibili.com/video/BV1Bg411K7Qj,拜托了小翔哥,1220782,1114751,6494,14618,82852,0,2677,7802
6,5元一碗熬菜，一元一个手工馒头，味美价廉真实惠,https://www.bilibili.com/video/BV1b44y1e738,田野上的繁荣,1066773,924696,4961,19774,69223,0,1294,2898
7,世界上最辣的六种泡面？小伙辣崩溃了！,https://www.bilibili.com/video/BV1Rg411K7rv,贤宝宝Baby,1046377,2313887,22177,11470,184325,0,2766,9991
8,大海退潮后，大庆赶海挖到很少见的开花大海葵，还有大个蛏王,https://www.bilibili.com/video/BV1b34y1Z7Mb,大庆赶海,1033311,850644,4109,11654,78690,0,973,1964
9,探访美国底特律姆爷面馆，2碗意面300元，美国明星餐厅捞钱有一套！,https://www.bilibili.com/video/BV1Dr4y1C7XU,Meetfood觅食,1029087,517770,4002,33433,67898,0,769,5932
10,华农兄弟：天气凉了，兄弟胃口不好，做一顿酸菜鱼给兄弟暖暖胃,https://www.bilibili.com/video/BV16U4y1g7bM,华农兄弟,852879,561583,10419,11705,61327,0,1303,2721
11,李记清真馆 厨子探店¥90,https://www.bilibili.com/video/BV1vQ4y1m78d,真探唐仁杰,832491,1105167,1488,3948,74658,0,3659,8578
12,B站首吃高颜值蜘蛛蟹，艾氏牛角蟹，惊喜连连啊,https://www.bilibili.com/video/BV1Pv411M7vX,小文哥吃吃吃,814484,693601,4519,9141,52920,0,395,2223
13,真有锅灰猪肝这道菜？发源地原来是这样做的，味道真的好吃吗？,https://www.bilibili.com/video/BV1vP4y1j7WL,衣谷水原egg,797662,451102,1928,24187,47464,0,494,2753
14,芬兰家人: 椰子可以做火锅？？端上桌后真香了！汤底都被喝得一点不剩！,https://www.bilibili.com/video/BV1W44y1e76L,雨琪在芬兰,780005,469932,5844,17442,45086,0,461,2795
15,老外自制3斤多脆皮猪肘子......牙差点脆掉了！,https://www.bilibili.com/video/BV1QR4y1E7Nh,铁蛋儿Tyler,748042,977770,1267,9202,53804,0,3864,7157
16,厨师长教你：“虎皮鹌鹑蛋”的红烧做法，内附煮蛋剥壳小技巧,https://www.bilibili.com/video/BV1Qv411T7sc,美食作家王刚R,699509,424675,1341,5423,41274,0,952,5315
17,厨房里最废人的菜之一虎皮凤爪，想要真的做好它，并不容易。,https://www.bilibili.com/video/BV1vg411K7kn,万能工具人阿伟,692754,360589,1838,22083,33219,0,663,5010
18,客人要吃桂鱼，可饭店却没有，大哥花160买两条加工，做满满一大盘儿，吃的连刺儿都不剩。,https://www.bilibili.com/video/BV1XL4y1q791,大嘴儿美食挠儿哥,675226,645408,818,2038,34627,0,313,1033
19,蹭饭蹭到最贵夜宵！重达15斤的百年大波龙，光钳子就比头还大……,https://www.bilibili.com/video/BV1tR4y1E7eR,二喵的饭,644212,2218055,13639,167827,328675,0,2097,25931
20,重庆“爆爆爆辣火锅”，6年敢点爆辣的不超过10个人，几口直接辣成香肠嘴,https://www.bilibili.com/video/BV1LL411u74c,肉肉大搜索,626372,1635362,6240,7819,73695,0,10939,4120
21,【SERGEY谢尔盖】👍帝王蟹来了！｜今天蒸大螃蟹吃，一口一口超满足！搭配香料酸奶油酱，来尝尝俄式蘸料带来的美味吧~｜烹饪过程 & 咀嚼音助眠,https://www.bilibili.com/video/BV1Cb4y187hU,SERGEY谢尔盖,611352,377488,1918,11738,32585,0,959,2822
22,周期四个月，古法橘酿葛根粉制作。,https://www.bilibili.com/video/BV1mT4y197pb,彭传明pcm,608383,204323,1381,21349,38698,0,480,4896
