,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,竖屏纯享版♥与你更近的甜美学姐,https://www.bilibili.com/video/BV1o3411b7ap,蒋七七ChiChan,1162680,762815,233,5442,32436,0,2208,31813
1,三个字，摄 人 心 魄 ！ 【人间惊鸿客】原创编舞,https://www.bilibili.com/video/BV1c341187m9,-小D-biu,822997,353244,778,21682,35548,0,1997,11411
2,学姐对你说LUV！！会接受吗？/(///ω///)/,https://www.bilibili.com/video/BV1Lr4y1y7kd,兔总裁s,446962,525152,711,7192,25091,0,1332,22621
3,绝绝子！0拉腿的初心宅舞❤️可以点进来祝我生日快乐吗？染上你的颜色舞蹈翻跳！,https://www.bilibili.com/video/BV1Ev411M7hF,-MyMy麦麦-,439618,186875,643,3363,11868,0,370,9673
4,一个魂们！一起摇起来~,https://www.bilibili.com/video/BV1n34y1Z7MX,醋醋cucu,390775,181228,383,3483,17685,0,761,4258
5,《相和歌》舞蹈纯享 少女踏鼓望子衿【舞千年】,https://www.bilibili.com/video/BV19q4y1r7pn,舞千年,372363,1109632,568,8543,23539,0,43,6
6,来自冬日的热辣摇摆❤️Wiggle Wiggle,https://www.bilibili.com/video/BV12T4y1d7Ga,御坂猫猫neko,355292,109511,169,1533,7720,0,210,10595
7,成团首个练习室！Kep1er O.O.O练习室公开,https://www.bilibili.com/video/BV1hr4y1C7G9,pcyxjy,352085,285333,4265,241,7948,0,1844,2222
8,听说你们都喜欢大兔兔？❤超Q弹的！,https://www.bilibili.com/video/BV1hb4y187LB,莓可-w-,347201,101123,70,1326,8704,0,208,10204
9,成熟大姐姐❀诱人胭脂色~【优颖酱】,https://www.bilibili.com/video/BV1uS4y1d7Tg,优颖酱,317151,90426,169,1441,7007,0,121,9603
10,性感和可爱并存❤怦然心动の麻花辫学妹,https://www.bilibili.com/video/BV1zR4y1E7fa,雪柔yuki,312564,92415,382,2419,8352,0,247,8721
11,望周知：古偶女主拿水袖擦口水不配叫天生舞姬！看首席降维打击！【国家舞团首席|唐诗逸】,https://www.bilibili.com/video/BV1JT4y197Cw,糯米团子小娇妻,312453,168674,283,770,16019,0,335,4276
12,别人跳savage是机器人，咱们跳是雪人,https://www.bilibili.com/video/BV1Hq4y137Cx,可爱的小漏漏,305360,192585,235,2417,13458,0,660,2038
13,超近的贴贴~♥I'm so hot♥【竖屏】一起来蹦个可爱迪！【楚鸢】,https://www.bilibili.com/video/BV1ZQ4y1S7Mb,楚鸢鸢吖,287241,87331,119,582,6162,0,144,8675
14,文化输出！菲律宾猛男首次穿汉服跳《寄明月》,https://www.bilibili.com/video/BV1iR4y1E7JF,猛男舞团IconX,269666,792945,3040,42687,98242,0,10439,10044
15,【懵小巧】黑丝肉腿 冬日不要太抗冻_ KARA 【Mamma Mia】,https://www.bilibili.com/video/BV1hU4y1g7mN,不会跳舞的懵小巧,268453,73131,142,1016,4647,0,112,8708
16,腾格尔x龚琳娜高燃【奇侠】演唱！看师妹我跳遍八荒！,https://www.bilibili.com/video/BV1dv411T7eF,紫颜-小仙紫,267383,125867,381,5231,9912,0,255,4285
17,圆 脸 书 记 舞 ୧(⁎˃ ◡˂⁎)୨,https://www.bilibili.com/video/BV1PF411Y7KV,聒碎阿,263953,144810,213,2321,10639,0,226,2552
18,JK天花板，嘿嘿🤤麻衣学姐有谁不爱呢？竖屏Devil⭐⭐⭐,https://www.bilibili.com/video/BV1s44y1e7wQ,庭树沐年,256907,72820,40,943,6974,0,190,7297
19,偷偷试跳一下～Luka Luka★Night Fever,https://www.bilibili.com/video/BV1Lv411M7R8,海獭娇娇娇,252591,106396,188,4288,13128,0,257,1839
20,羊 超 越,https://www.bilibili.com/video/BV19Q4y1U7aM,酸梨大王,227779,6145631,1949,64093,363863,0,52348,47697
21,阳光+软软糯糯的女孩子谁能拒绝呢////超元气宅舞Go My Way！!【雪糍】,https://www.bilibili.com/video/BV1WL4y1v7qS,奶酪芝士味雪糍,226181,81489,92,1509,5705,0,146,5283
22,EDG夺冠雪地跳宅舞,https://www.bilibili.com/video/BV1i44y1e7um,在下帅鸽巫央,222837,225894,193,758,7150,0,391,4497
23,男蝎子你见过吗,https://www.bilibili.com/video/BV1ag411K78o,小蔡在东京,209995,142884,84,382,10280,0,413,742
24,【訴沫】一枪打中你的心♥在废墟中的kill this love~,https://www.bilibili.com/video/BV11U4y1g7Qm,訴沫沫沫沫,209269,59434,72,870,3911,0,91,6396
