,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,学完这几招，你可以打败詹姆斯！,https://www.bilibili.com/video/BV17b4y187Yc,篮球fans研究所,1216482,927953,810,5634,67722,0,19065,19136
1,摔跤柔术柔道在现实生活中也是非常实用的,https://www.bilibili.com/video/BV15U4y1M7yh,格斗新视界,888521,841978,100,555,46356,0,1489,9317
2,轮椅冰壶世锦赛，中国队最后一投完成不可能完成的任务！逆转瑞典获得冠军！太不容易了！,https://www.bilibili.com/video/BV1er4y117ns,恋爱像奶茶一样美味,827814,1600688,549,1844,166670,0,1175,9398
3,【抓你手活】那个男人回来了 方便面滑板2.0,https://www.bilibili.com/video/BV11U4y1g78B,Journey滑板,798815,297714,4658,34656,45028,0,723,5944
4,【黄海木|挑战超强核心力】《点赞！达人秀》网管小哥的第二重“春天”,https://www.bilibili.com/video/BV1e34y1Z7CC,街健呆木头,749646,971714,1673,10375,79374,0,3202,3930
5,【减小腰围!】如何3步减掉内脏脂肪(含详细攻略),https://www.bilibili.com/video/BV1gq4y137pb,帅soserious,729444,350466,777,8841,18143,0,3710,17109
6,功夫狂人，脖子夹爆苹果，一拳打断钢筋水泥土条，臂力惊人,https://www.bilibili.com/video/BV1fv411T7zd,农村人武狂,410402,601985,1583,13852,36411,0,600,3754
7,这样的极限跳跃，看看有几个能模仿的。,https://www.bilibili.com/video/BV1TR4y1t7Eh,小强会武术,399971,415116,357,980,27859,0,3047,3729
8,瑜伽女孩｜站立一字马,https://www.bilibili.com/video/BV16Q4y1m75u,潘伽人yoga,397823,283123,143,290,9814,0,362,4473
9,站桩都知道静桩，知道动桩嘛？,https://www.bilibili.com/video/BV1nF411Y7fb,八极行者,380406,265211,220,737,8152,0,242,7686
10,【一周见效】纠正骨盆前倾，平坦小腹，解决腰痛，无场景限制,https://www.bilibili.com/video/BV1o3411b7T9,郝强Fit,357421,76215,245,4067,4447,0,639,13128
11,每当你想放弃的时候，就看看这个视频,https://www.bilibili.com/video/BV1wr4y1y72W,投掷狂魔Dav,338509,276997,48,230,14742,0,60,1080
12,要想马师傅训练？那还得帝哥更有招！,https://www.bilibili.com/video/BV1j44y1e7dt,别赖了马师傅,336564,277404,226,353,19857,0,128,750
13,全球首位！我国17岁小将完成单板滑雪内转1980度,https://www.bilibili.com/video/BV1iT4y1d7Hg,你懂体育吗,330676,546184,162,301,77066,0,548,5910
14,曾经最想逃离的地方，却是我们长大后，最想回去的地方！（结尾那句话，你一定说过）,https://www.bilibili.com/video/BV1tf4y1T7L5,剑客范十三,322469,530266,68,707,14013,0,116,1988
15,球没落地 永不放弃 黄鸭vs雅思 精彩多拍73拍,https://www.bilibili.com/video/BV1Lf4y1u73D,赶路体育,315999,563778,65,155,31440,0,248,1741
16,减重迷茫难坚持？试试这套21天减重计划！,https://www.bilibili.com/video/BV15T4y197Pi,闫帅奇,291291,88274,273,3866,7921,0,357,7015
17,千岛湖寻巨青,https://www.bilibili.com/video/BV14Q4y1m7XK,天元-邓刚,285444,198216,5310,1279,15369,0,519,540
18,【徐静雨】库里50+10喜迎生涯之夜，勇士梦回2016版本！,https://www.bilibili.com/video/BV1JP4y157Um,雨说体育徐静雨,280146,211745,2590,2464,8575,0,1186,737
19,当她细心地拧开瓶盖才递给他时，冠军是谁已经不重要了！,https://www.bilibili.com/video/BV1jF411Y7w6,人民故事,276222,453619,556,3943,24506,0,246,3408
20,脖子前倾颈部僵硬问题，3分钟教会你颈部前倾如何改善,https://www.bilibili.com/video/BV1Kq4y1k7wH,飞特那斯,274495,479103,87,13942,20484,0,3882,56809
21,大爷要教我打球 没想到有反转,https://www.bilibili.com/video/BV19g411K7ex,尹航乒乓球,266911,521753,521,645,20749,0,752,787
22,跟老王学他的大招假转身,https://www.bilibili.com/video/BV1nq4y1k7Gp,野球帝郭师傅,248320,166899,96,290,9908,0,79,1852
23,得分厚卫！！！奥尼尔看了都说好！,https://www.bilibili.com/video/BV1eP4y1j7FY,球痴青年,246534,348979,348,167,3519,0,2943,601
24,格斗 %体育精神 %一定要看到最后 %武林风 %搏击 %涨知识 %dou出真功夫 ，  铁甲钢拳闫西波在自由搏击擂台上让日本选手见识到中国真功夫。,https://www.bilibili.com/video/BV1kv411T7Eo,抗日英雄联盟,238831,562582,384,784,33725,0,116,1062
25,“世界杯上的悲情谢幕”,https://www.bilibili.com/video/BV1834y1o7PN,Thisisit足球,228794,443491,16,26,35948,0,24,1165
