,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,周杰伦的声音为什么会变成现在这样？真的是因为奶茶吗？带你解析二十一年以来周董的声音变化史！,https://www.bilibili.com/video/BV1iL411u7RJ,Jason-老湿,2046614,1185678,10944,112242,113628,0,12248,40239
1,雪夜里的喀秋莎 Катюша,https://www.bilibili.com/video/BV1dq4y1r7QE,影薄要努力变高,1563200,1195660,1117,41480,100915,0,4716,21136
2,认  真  的  雪   （cover薛之谦｜“宿舍真的在下雪！”）,https://www.bilibili.com/video/BV14R4y1E7Lt,秋不田,1479356,1564523,2422,32993,120033,0,18341,20886
3,《那个石家庄人》,https://www.bilibili.com/video/BV1jf4y1T72h,广西吴恩师,1324272,779863,1704,45551,66771,0,3496,12195
4,叶 辅 导,https://www.bilibili.com/video/BV1v34y1Z7GU,叶笛云央,1284864,1035927,1585,24492,101967,0,4995,22405
5,《许 秀 中 举》,https://www.bilibili.com/video/BV1Tv411M7UN,希灵empire,1266387,1423925,1478,35731,72539,0,8303,16890
6,【空耳】lemon竟然是一首中文歌？,https://www.bilibili.com/video/BV19F411a7yz,弹珠汽水aya,1118488,501711,944,34389,46076,0,4391,20181
7,【时代少年团】2021天猫双11狂欢夜《哪吒》,https://www.bilibili.com/video/BV13341187nQ,守护屠夫,882355,325851,22537,7052,34456,0,5470,15522
8,借2分钟实现换腰子梦想，尿毒症女孩弹唱《走马》为攒钱治病,https://www.bilibili.com/video/BV1jL41137ox,加油小仙,856034,2470949,2864,243480,345266,0,1282,28413
9,你们猜猜，我除了来唱歌还来干什么了？,https://www.bilibili.com/video/BV1wR4y1t7yE,田一名sir,781982,544571,898,7778,49912,0,2086,2826
10,今天的网红歌手VS十几年前的网络歌手,https://www.bilibili.com/video/BV1SL4y1q7dy,accelostorder,743220,1111063,27823,34472,62268,0,4472,13805
11,铠 甲 勇 士,https://www.bilibili.com/video/BV1M34y1Z7DM,浑元Rysn,742043,422581,1184,5341,50957,0,2149,4362
