,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,三国时期使用注射器画面曝光,https://www.bilibili.com/video/BV1XL4y1q7rZ,女孩为何穿短裙,1620864,1040906,3387,34907,100526,0,9235,23229
1,《哥谭噩梦》最离谱版本,https://www.bilibili.com/video/BV1JF411Y7GG,碧天蓝钻,892249,766169,497,6127,40323,0,1821,7924
2,让老番茄陷入尴尬,https://www.bilibili.com/video/BV1xS4y1d7sk,月灵炳曜,876459,782176,280,4517,57816,0,2077,4680
3,⚡杰哥去哪儿⚡,https://www.bilibili.com/video/BV1av411M7PE,鸡鸡·夫斯基,825287,562220,1578,25308,48237,0,8673,19763
4,我好不容易焯一次菜..,https://www.bilibili.com/video/BV1tf4y1T7WJ,一只阿恩,606114,490990,475,4170,39607,0,3339,9394
5,EDG夺冠——亚托克斯有话要说！！！,https://www.bilibili.com/video/BV14F411Y7Ja,极致快乐的小坊沐,550611,568055,802,8808,44171,0,8821,10388
6,焯 鬼 论 战,https://www.bilibili.com/video/BV1ER4y1E7Ez,卑鄙的南瓜骨头,455926,3619206,3215,58027,228848,0,35991,66979
7,【刘庸】这里没有童话镇,https://www.bilibili.com/video/BV1QF411a7oz,-胡莱克修斯-,455278,201050,676,13602,16617,0,691,5034
8,S 1 1 总 决 赛 陷 入 了 尴 尬,https://www.bilibili.com/video/BV1Rb4y1879j,你的硬币是我dio哒,430881,690214,330,4294,39455,0,9921,5281
9,是 新 鱿 戏 喔 ！,https://www.bilibili.com/video/BV1AR4y1t7NQ,快乐阿依,387922,227977,431,3083,21053,0,1119,5332
10,完 美 复 仇 计 划,https://www.bilibili.com/video/BV1cL411u7g4,阿攸丶,358833,148577,445,5331,16598,0,1251,4932
11,捣 蛋 鬼,https://www.bilibili.com/video/BV1H44y147A7,一大筐会飞的草莓,343842,5693017,4193,336764,611140,0,47738,208384
12,用 力 过 猛,https://www.bilibili.com/video/BV1vU4y1g74Z,伊介书生,323271,367118,274,1679,23332,0,850,5633
13,蕉♂辅导 💃🏻,https://www.bilibili.com/video/BV17L411u7gX,王思妇丶,264263,104239,496,3623,17757,0,919,2572
14,托 儿 索 说 唱,https://www.bilibili.com/video/BV1c34y1Z7YD,哦呼w,257055,573317,446,12630,45517,0,3644,10219
