badge,badge_info,badge_type,cover,index_show,is_finish,link,media_id,order,order_type,season_id,season_type,title,title_icon
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/f641f81aa1933d73c91d5ef76b525acbcdbcf3e7.png,更新至第5话,0,https://www.bilibili.com/bangumi/play/ss39433,28235125,1387.5万追番,3,39433,1,鬼灭之刃 游郭篇,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/31326faa6c7626395b1275a99bd8a6ca030929ed.png,全7话,1,https://www.bilibili.com/bangumi/play/ss39444,28235136,1293万追番,3,39444,1,鬼灭之刃 无限列车篇,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/4179b4398bad6f92e876e352cae21be7b8ceb8bf.png,全26话,1,https://www.bilibili.com/bangumi/play/ss26801,22718131,1169.8万追番,3,26801,1,鬼灭之刃,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/91e9534cc55aa1a6dc959e7d6d33bde970208232.png,全24话,1,https://www.bilibili.com/bangumi/play/ss34430,28229899,1090.8万追番,3,34430,1,咒术回战,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/376d7e69a667bcb1c0b934a4e35e07e7fa23110b.png,全23话,1,https://www.bilibili.com/bangumi/play/ss39462,28235154,936.9万追番,3,39462,1,国王排名,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/6f0e6f9218e4198fbd497379baf30ff2ef4eb92c.png,2021-04-09上映,1,https://www.bilibili.com/bangumi/play/ss38939?theme=movie,28234631,910.5万追剧,3,38939,2,工作细胞：细胞大作战,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/fd492888df64bbc3b821dac5d516dbc1c2fe5f08.png,全24话,1,https://www.bilibili.com/bangumi/play/ss36170,28231812,894.4万追番,3,36170,1,关于我转生变成史莱姆这档事 第二季,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/847e9dbb6876fb37a30199a5c88910704976d45b.png,全13话,1,https://www.bilibili.com/bangumi/play/ss38921,28234613,852.5万追番,3,38921,1,小林家的龙女仆 第二季,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/4f3edbede7fc0bdb52842075cf8faaa1c5953eaa.png,全12话,1,https://www.bilibili.com/bangumi/play/ss36429,28232073,847.2万追番,3,36429,1,Re：从零开始的异世界生活 第二季 后半,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/cece1d7eaabd0fac10480efec3d879c542247734.png,全8话,1,https://www.bilibili.com/bangumi/play/ss36174,28231816,835.9万追番,3,36174,1,工作细胞 第二季,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/cac1699418451387f93572066b7e5d14d799d3cd.jpg,全12话,1,https://www.bilibili.com/bangumi/play/ss38221,28233903,829.9万追番,3,38221,1,关于我转生变成史莱姆这档事 转生史莱姆日记,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/f5d5f51b941c01f8b90b361b412dc75ecc2608d3.png,全14话,1,https://www.bilibili.com/bangumi/play/ss24588,102392,799.2万追番,3,24588,1,工作细胞,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/2e800bc5154dcaad24a46d33e2af82be7aa9a2e9.png,2021-12-25上映,1,https://www.bilibili.com/bangumi/play/ss40028?theme=movie,28235728,791.1万追剧,3,40028,2,紫罗兰永恒花园 剧场版 ,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/c72a95c3cae82f58f8fa25facd40960aa2003d26.png,全14话,1,https://www.bilibili.com/bangumi/play/ss5800,5800,782.6万追番,3,5800,1,小林家的龙女仆,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/f2425cbdb07cc93bd0d3ba1c0099bfe78f5dc58a.png,全13话,1,https://www.bilibili.com/bangumi/play/ss33802,28229233,772.1万追番,3,33802,1,Re：从零开始的异世界生活 第二季 前半,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/962b27ff452b5daf98038a10a6dad3c134916e7d.png,全26话,1,https://www.bilibili.com/bangumi/play/ss34004,28229443,768.9万追番,3,34004,1,鬼灭之刃 中配版,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/6565f297b31fb4a4a0337557033426930c3b88c0.png,全14话,1,https://www.bilibili.com/bangumi/play/ss21542,8892,755.3万追番,3,21542,1,紫罗兰永恒花园,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/83ad052250e9a803e4ebaa47bef971cb079e0543.png,全12话,1,https://www.bilibili.com/bangumi/play/ss32982,28228367,750.5万追番,3,32982,1,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/1cc333ff578e5ea9fded7e454953a4e2291440c2.png,全13话,1,https://www.bilibili.com/bangumi/play/ss25733,134932,744.9万追番,3,25733,1,青春猪头少年不会梦到兔女郎学姐,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/451037aabcdce0379752e087720673609894161a.png,全12话,1,https://www.bilibili.com/bangumi/play/ss26274,5267730,741.3万追番,3,26274,1,辉夜大小姐想让我告白～天才们的恋爱头脑战～,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/f641f81aa1933d73c91d5ef76b525acbcdbcf3e7.png,更新至第5话,0,https://www.bilibili.com/bangumi/play/ss39433,28235125,1387.5万追番,3,39433,1,鬼灭之刃 游郭篇,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/31326faa6c7626395b1275a99bd8a6ca030929ed.png,全7话,1,https://www.bilibili.com/bangumi/play/ss39444,28235136,1293万追番,3,39444,1,鬼灭之刃 无限列车篇,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/4179b4398bad6f92e876e352cae21be7b8ceb8bf.png,全26话,1,https://www.bilibili.com/bangumi/play/ss26801,22718131,1169.8万追番,3,26801,1,鬼灭之刃,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/91e9534cc55aa1a6dc959e7d6d33bde970208232.png,全24话,1,https://www.bilibili.com/bangumi/play/ss34430,28229899,1090.8万追番,3,34430,1,咒术回战,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/376d7e69a667bcb1c0b934a4e35e07e7fa23110b.png,全23话,1,https://www.bilibili.com/bangumi/play/ss39462,28235154,936.9万追番,3,39462,1,国王排名,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/6f0e6f9218e4198fbd497379baf30ff2ef4eb92c.png,2021-04-09上映,1,https://www.bilibili.com/bangumi/play/ss38939?theme=movie,28234631,910.5万追剧,3,38939,2,工作细胞：细胞大作战,
